,State,Year,Type,Value
148,ND,2018,Drivers,561333.0
149,AK,2018,Drivers,
150,VT,2018,Drivers,564892.0
151,RI,2018,Drivers,756966.0
152,DC,2018,Drivers,527731.0
153,CA,2019,Drivers,27213650.0
154,TX,2019,Drivers,17822760.0
155,FL,2019,Drivers,15560628.0
156,GA,2019,Drivers,7261266.0
157,NC,2019,Drivers,7620001.0
158,TN,2019,Drivers,4786973.0
159,OH,2019,Drivers,8032792.0
160,PA,2019,Drivers,8987676.0
161,IL,2019,Drivers,8546932.0
162,SC,2019,Drivers,3877968.0
163,AZ,2019,Drivers,5369210.0
164,MI,2019,Drivers,7141494.0
165,NY,2019,Drivers,12194360.0
166,AL,2019,Drivers,4026151.0
167,MO,2019,Drivers,4274389.0
168,VA,2019,Drivers,5888196.0
169,IN,2019,Drivers,4589405.0
170,LA,2019,Drivers,3435168.0
171,KY,2019,Drivers,3030329.0
172,OK,2019,Drivers,2522670.0
173,MS,2019,Drivers,2058036.0
174,CO,2019,Drivers,4235384.0
175,WI,2019,Drivers,4296646.0
176,NJ,2019,Drivers,6377413.0
177,WA,2019,Drivers,5711136.0
178,MD,2019,Drivers,4463862.0
179,AR,2019,Drivers,2153929.0
180,OR,2019,Drivers,3002014.0
181,NM,2019,Drivers,1449711.0
182,KS,2019,Drivers,2154260.0
183,MN,2019,Drivers,4273027.0
184,MA,2019,Drivers,4950056.0
185,IA,2019,Drivers,2274431.0
186,NV,2019,Drivers,2054421.0
187,WV,2019,Drivers,1130389.0
188,CT,2019,Drivers,2608061.0
189,UT,2019,Drivers,2121099.0
190,NE,2019,Drivers,1430818.0
191,ID,2019,Drivers,1252535.0
192,MT,2019,Drivers,811851.0
193,ME,2019,Drivers,1046129.0
194,DE,2019,Drivers,812529.0
195,WY,2019,Drivers,424115.0
196,HI,2019,Drivers,
197,ND,2019,Drivers,556064.0
198,NH,2019,Drivers,1195211.0
199,SD,2019,Drivers,648663.0
200,AK,2019,Drivers,
201,RI,2019,Drivers,761046.0
202,VT,2019,Drivers,472633.0
203,DC,2019,Drivers,535579.0
204,CA,2020,Drivers,27005302.0
205,TX,2020,Drivers,17667039.0
206,FL,2020,Drivers,15715373.0
207,GA,2020,Drivers,7521750.0
208,NC,2020,Drivers,7637400.0
209,OH,2020,Drivers,8100273.0
210,TN,2020,Drivers,4877268.0
211,IL,2020,Drivers,8225298.0
212,PA,2020,Drivers,8930677.0
213,MI,2020,Drivers,7026650.0
214,AZ,2020,Drivers,5681495.0
215,SC,2020,Drivers,3905911.0
216,NY,2020,Drivers,12194360.0
217,MO,2020,Drivers,4259672.0
218,AL,2020,Drivers,4042900.0
219,IN,2020,Drivers,4532708.0
220,VA,2020,Drivers,5909716.0
221,LA,2020,Drivers,3416648.0
222,KY,2020,Drivers,2905632.0
223,MS,2020,Drivers,2017111.0
224,OK,2020,Drivers,2550560.0
225,AR,2020,Drivers,2153929.0
226,CO,2020,Drivers,4299447.0
227,WI,2020,Drivers,4315892.0
228,NJ,2020,Drivers,6230912.0
229,MD,2020,Drivers,4454266.0
230,WA,2020,Drivers,5812500.0
231,OR,2020,Drivers,2944828.0
232,KS,2020,Drivers,2004302.0
233,MN,2020,Drivers,4090264.0
234,NM,2020,Drivers,1473219.0
235,MA,2020,Drivers,4940373.0
236,IA,2020,Drivers,2268916.0
237,NV,2020,Drivers,2056394.0
238,CT,2020,Drivers,2508670.0
239,UT,2020,Drivers,2149766.0
240,WV,2020,Drivers,1101775.0
241,NE,2020,Drivers,1438821.0
242,MT,2020,Drivers,826754.0
243,ID,2020,Drivers,1285331.0
244,ME,2020,Drivers,1047893.0
245,SD,2020,Drivers,658091.0
246,WY,2020,Drivers,427233.0
247,DE,2020,Drivers,829226.0
248,NH,2020,Drivers,1060381.0
249,ND,2020,Drivers,539006.0
250,HI,2020,Drivers,
251,RI,2020,Drivers,731715.0
252,VT,2020,Drivers,460871.0
253,AK,2020,Drivers,
254,DC,2020,Drivers,520865.0
255,TX,2021,Drivers,18297900.0
256,CA,2021,Drivers,27112595.0
257,FL,2021,Drivers,16144302.0
258,GA,2021,Drivers,7663847.0
259,NC,2021,Drivers,7765109.0
260,OH,2021,Drivers,8283546.0
261,TN,2021,Drivers,5009697.0
262,IL,2021,Drivers,8364843.0
263,PA,2021,Drivers,9098570.0
264,SC,2021,Drivers,3990909.0
265,NY,2021,Drivers,11879057.0
266,MI,2021,Drivers,7982471.0
267,AZ,2021,Drivers,5795216.0
268,MO,2021,Drivers,4275228.0
269,VA,2021,Drivers,5912644.0
270,LA,2021,Drivers,3437733.0
271,AL,2021,Drivers,4061837.0
272,IN,2021,Drivers,4636114.0
273,KY,2021,Drivers,2980331.0
274,MS,2021,Drivers,2032775.0
275,OK,2021,Drivers,2597441.0
276,NJ,2021,Drivers,6461950.0
277,CO,2021,Drivers,4411587.0
278,AR,2021,Drivers,2306921.0
279,WA,2021,Drivers,5868509.0
280,WI,2021,Drivers,4340851.0
281,OR,2021,Drivers,3029912.0
282,MD,2021,Drivers,4439757.0
283,MN,2021,Drivers,4143272.0
284,NM,2021,Drivers,1477213.0
285,MA,2021,Drivers,4899931.0
286,KS,2021,Drivers,2089707.0
287,NV,2021,Drivers,2150707.0
288,IA,2021,Drivers,2345355.0
289,UT,2021,Drivers,2207208.0
290,CT,2021,Drivers,2606396.0
291,WV,2021,Drivers,1138290.0
292,ID,2021,Drivers,1343453.0
293,MT,2021,Drivers,856696.0
294,NE,2021,Drivers,1438842.0
295,ME,2021,Drivers,1056535.0
296,DE,2021,Drivers,848504.0
297,SD,2021,Drivers,671149.0
298,NH,2021,Drivers,1174826.0
299,WY,2021,Drivers,430472.0
300,HI,2021,Drivers,
301,ND,2021,Drivers,549721.0
302,VT,2021,Drivers,469624.0
303,RI,2021,Drivers,754507.0
304,AK,2021,Drivers,
305,DC,2021,Drivers,510985.0
306,CA,2016,Accidents,140452.0
307,TX,2016,Accidents,49769.0
308,FL,2016,Accidents,37060.0
309,GA,2016,Accidents,13249.0
310,NC,2016,Accidents,6147.0
311,OH,2016,Accidents,11331.0
312,PA,2016,Accidents,21232.0
313,IL,2016,Accidents,17079.0
314,TN,2016,Accidents,1688.0
315,MI,2016,Accidents,16652.0
316,NY,2016,Accidents,20097.0
317,SC,2016,Accidents,3015.0
318,AZ,2016,Accidents,2770.0
319,MO,2016,Accidents,3758.0
320,AL,2016,Accidents,135.0
321,IN,2016,Accidents,1623.0
322,VA,2016,Accidents,6493.0
323,KY,2016,Accidents,1068.0
324,LA,2016,Accidents,849.0
325,OK,2016,Accidents,570.0
326,MS,2016,Accidents,402.0
327,CO,2016,Accidents,1324.0
328,NJ,2016,Accidents,7953.0
329,WI,2016,Accidents,1562.0
330,WA,2016,Accidents,9315.0
331,MD,2016,Accidents,7542.0
332,AR,2016,Accidents,26.0
333,KS,2016,Accidents,762.0
334,OR,2016,Accidents,1026.0
335,MN,2016,Accidents,2567.0
336,NM,2016,Accidents,153.0
337,MA,2016,Accidents,5200.0
338,IA,2016,Accidents,2005.0
339,NV,2016,Accidents,1357.0
340,WV,2016,Accidents,429.0
341,CT,2016,Accidents,4210.0
342,UT,2016,Accidents,968.0
343,ID,2016,Accidents,419.0
344,NE,2016,Accidents,5811.0
345,MT,2016,Accidents,62.0
346,ME,2016,Accidents,135.0
347,DE,2016,Accidents,281.0
348,SD,2016,Accidents,8.0
349,ND,2016,Accidents,3.0
350,WY,2016,Accidents,69.0
351,NH,2016,Accidents,315.0
352,HI,2016,Accidents,
353,RI,2016,Accidents,1409.0
354,AK,2016,Accidents,
355,VT,2016,Accidents,17.0
356,DC,2016,Accidents,454.0
357,CA,2017,Accidents,152748.0
358,TX,2017,Accidents,85588.0
359,FL,2017,Accidents,60706.0
360,GA,2017,Accidents,22071.0
361,NC,2017,Accidents,34108.0
362,OH,2017,Accidents,13656.0
363,PA,2017,Accidents,26905.0
364,IL,2017,Accidents,25310.0
365,TN,2017,Accidents,11017.0
366,MI,2017,Accidents,27469.0
367,NY,2017,Accidents,36986.0
368,SC,2017,Accidents,28333.0
369,AZ,2017,Accidents,12329.0
370,MO,2017,Accidents,7386.0
371,AL,2017,Accidents,2904.0
372,IN,2017,Accidents,6947.0
373,VA,2017,Accidents,20743.0
374,KY,2017,Accidents,3282.0
375,LA,2017,Accidents,12233.0
376,OK,2017,Accidents,9758.0
377,MS,2017,Accidents,1037.0
378,CO,2017,Accidents,7105.0
379,NJ,2017,Accidents,14110.0
380,WI,2017,Accidents,4111.0
